Assessment Name,URL,Duration,Remote Testing,Adaptive Support,Job Level
,https://www.shl.com/solutions/products/,N/A,Yes,Yes,N/A
,https://www.shl.com/solutions/products/assessments/,N/A,Yes,Yes,N/A
Go Digital and Deliver a Superior Experience,https://www.shl.com/solutions/products/assessments/assessment-and-development-centers/,N/A,Yes,Yes,N/A
,https://www.shl.com/solutions/products/assessments/behavioral-assessments/,N/A,Yes,No,N/A
SHL Personality Assessments,https://www.shl.com/solutions/products/assessments/personality-assessment/,N/A,Yes,Yes,N/A
SHL Cognitive Assessments,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,N/A,Yes,Yes,N/A
,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,N/A,Yes,Yes,N/A
Skills Assessments that Predict On-the-job Success,https://www.shl.com/solutions/products/assessments/job-focused-assessments/,N/A,Yes,No,N/A
Measure Past Performance and Future Potential,https://www.shl.com/solutions/products/360/,4 minutes,Yes,No,N/A
,https://www.shl.com/solutions/products/hackathons/,N/A,Yes,Yes,N/A
Make Hiring Personal To Delight Your Candidates,https://www.shl.com/solutions/products/video-feedback/,N/A,Yes,No,N/A
The Smarter Way to Interview Talent,https://www.shl.com/solutions/products/video-interviews/,N/A,Yes,Yes,N/A
Video Interview Thousands of Candidates in Minutes,https://www.shl.com/solutions/products/video-interviews/smart-interview-on-demand/,N/A,Yes,Yes,N/A
The coding interview tool for early career and senior developer hiring,https://www.shl.com/solutions/products/video-interviews/smart-interview-coding/,N/A,Yes,No,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/,N/A,Yes,Yes,N/A
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,49 minutes,Yes,No,N/A
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,36 minutes,Yes,No,Professional
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,51 minutes,Yes,No,N/A
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,30 minutes,Yes,No,N/A
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,20 minutes,Yes,No,N/A
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,35 minutes,Yes,No,N/A
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,45 minutes,Yes,No,N/A
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,45 minutes,Yes,No,Manager
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,43 minutes,Yes,No,N/A
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,49 minutes,Yes,No,N/A
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,50 minutes,Yes,No,Manager
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,28 minutes,Yes,No,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/?start=12&type=2,N/A,Yes,Yes,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/?start=24&type=2,N/A,Yes,Yes,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/?start=132&type=2,N/A,Yes,Yes,N/A
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,N/A,Yes,No,N/A
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,30 minutes,Yes,No,N/A
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,17 minutes,Yes,No,N/A
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,5 minutes,Yes,No,N/A
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,11 minutes,Yes,No,N/A
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,9 minutes,Yes,No,N/A
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,5 minutes,Yes,No,N/A
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,9 minutes,Yes,No,N/A
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,8 minutes,Yes,No,N/A
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,13 minutes,Yes,No,N/A
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,8 minutes,Yes,No,N/A
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,10 minutes,Yes,No,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/?start=12&type=1,N/A,Yes,Yes,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/?start=24&type=1,N/A,Yes,Yes,N/A
Find assessments that best meet your needs.,https://www.shl.com/solutions/products/product-catalog/?start=372&type=1,N/A,Yes,Yes,N/A
